,time,open,close,high,low,volume
1210,10 10:50,0.74374,0.74375,0.74375,0.74374,0.02
1211,10 10:51,0.74378,0.74378,0.74378,0.74378,0.01
1212,10 10:52,0.74376,0.74368,0.74376,0.74361,0.07
1213,10 10:53,0.74362,0.74349,0.7437,0.74349,0.12
1214,10 10:55,0.74343,0.74332,0.74343,0.74332,0.03
1215,10 10:56,0.74335,0.74336,0.7434,0.74325,0.11
1216,10 10:57,0.74342,0.74335,0.7435,0.7433,0.12
1217,10 10:58,0.74338,0.74328,0.74342,0.74328,0.1
1218,10 10:59,0.74323,0.74316,0.74326,0.74316,0.06
1219,10 11:00,0.74318,0.7432,0.74326,0.74318,0.11
1220,10 11:01,0.74318,0.7432,0.7432,0.7431,0.06
1221,10 11:02,0.74316,0.7431,0.74316,0.7431,0.03
1222,10 11:03,0.74314,0.74308,0.74314,0.74308,0.02
1223,10 11:04,0.74308,0.74322,0.74322,0.74308,0.09
1224,10 11:05,0.74328,0.74326,0.74328,0.74314,0.15
1225,10 11:06,0.74322,0.74314,0.74322,0.7431,0.04
1226,10 11:07,0.74318,0.74312,0.74318,0.7431,0.07
1227,10 11:08,0.74314,0.74318,0.74318,0.74306,0.16
1228,10 11:10,0.74322,0.74324,0.74327,0.74322,0.04
1229,10 11:11,0.74321,0.74319,0.74323,0.74318,0.06
1230,10 11:12,0.74324,0.74346,0.74346,0.74324,0.1
1231,10 11:13,0.74344,0.74343,0.74346,0.74334,0.1
1232,10 11:14,0.74348,0.74346,0.74354,0.74338,0.13
1233,10 11:15,0.74342,0.74344,0.74344,0.74338,0.04
1234,10 11:16,0.74349,0.74354,0.74354,0.74348,0.03
1235,10 11:17,0.74352,0.74338,0.74352,0.74338,0.08
1236,10 11:18,0.74344,0.74353,0.74354,0.74343,0.05
1237,10 11:19,0.74352,0.74339,0.74352,0.74339,0.06
1238,10 11:20,0.74333,0.74322,0.74333,0.74322,0.04
1239,10 11:21,0.74322,0.74332,0.74336,0.74322,0.05
1240,10 11:22,0.74328,0.74336,0.74336,0.74328,0.03
1241,10 11:23,0.74341,0.7434,0.74342,0.74337,0.06
1242,10 11:24,0.74338,0.74336,0.7434,0.74332,0.16
1243,10 11:25,0.74341,0.74341,0.74341,0.74341,0.01
1244,10 11:26,0.74346,0.74346,0.74348,0.74342,0.05
1245,10 11:27,0.74346,0.74349,0.74349,0.74338,0.07
1246,10 11:28,0.74354,0.74356,0.74358,0.74352,0.06
1247,10 11:29,0.74354,0.74367,0.74367,0.74348,0.08
